sentence,product,part,class
Bought a Huawei p30 pro and found the camera terrific.,Huawei p30 pro,camera,positive
My friend plans to fix his old Huawei p20 phone.,Huawei p20,,neutral
Mic of that phone easily goes faulty.,,Mic,negative
I'm obsessed with my iPhone 13 Pro's ProRAW feature. My photos look like they're shot on a DSLR!,iPhone 13 Pro,,positive
"I thought the Samsung Galaxy S21 Ultra's S Pen support would be cool, but I barely use it.",Samsung Galaxy S21 Ultra,S Pen support,negative
I can't get over how fast my OnePlus 9 Pro charges. I'm always topped up!,OnePlus 9 Pro,,positive
"I'm on the fence about the Google Pixel 6's Material You design. Some days I love it, some days not so much.",Google Pixel 6,,neutral
I regret buying the Xiaomi Mi 11 for gaming. It gets so hot I can barely hold it!,Xiaomi Mi 11,,negative
I'm in love with the Sony Xperia 1 III's dedicated shutter button. Makes me feel like a real photographer!,Sony Xperia 1 III,shutter button,positive
"I thought I'd use the Oppo Find X3 Pro's microscope camera more, but it's just a novelty.",Oppo Find X3 Pro,microscope camera,neutral
I'm disappointed by the LG Velvet's performance. It stutters even with basic tasks.,LG Velvet,,negative
"Yo, the camera on this iPhone 13 Pro is insane! My Insta game just leveled up big time.",iPhone 13 Pro,camera,positive
"Meh, Samsung Galaxy S21 Ultra's zoom is cool and all, but not worth the crazy price tag IMO.",Samsung Galaxy S21 Ultra,zoom,negative
"Gotta say, OnePlus 9 Pro's fast charging is like magic. Dead to 100% in no time!",OnePlus 9 Pro,fast charging,positive
"Google Pixel 6's voice typing is hit or miss. Sometimes it's spot on, other times it's total gibberish.",Google Pixel 6,voice typing,neutral
"Ugh, my Xiaomi Mi 11 turns into a hot potato when gaming. Not cool, literally.",Xiaomi Mi 11,,negative
Sony Xperia 1 III's manual camera mode is a dream for photo nerds. So many options!,Sony Xperia 1 III,manual camera mode,positive
"NGL, Oppo Find X3 Pro's microscope camera is fun for like 5 minutes. Then you forget it exists.",Oppo Find X3 Pro,microscope camera,neutral
"LG Velvet looks slick, but man, it lags like crazy when multitasking. Bummer.",LG Velvet,,negative
"Motorola Edge+'s curved screen looks dope, but accidental touches are annoying AF.",Motorola Edge+,curved screen,positive
"Holy moly, Realme GT's processor is a beast for this price! Runs everything smooth as butter.",Realme GT,processor,positive
Asus ROG Phone 5's gaming triggers are a total game-changer. Can't go back to gaming without 'em!,Asus ROG Phone 5,gaming triggers,positive
