sentence,product,part,class,processed_text_sentiment,processed_text_ner,ner_labels
Bought a Huawei p30 pro and found the camera terrific.,Huawei p30 pro,camera,positive,bought huawei p pro found camera terrific,Bought Huawei p30 pro found camera terrific .,O B-PRODUCT I-PRODUCT I-PRODUCT O B-PART O O
My friend plans to fix his old Huawei p20 phone.,Huawei p20,,neutral,friend plan fix old huawei p phone,My friend plan fix old Huawei p20 phone .,O O O O O B-PRODUCT I-PRODUCT O O
Mic of that phone easily goes faulty.,,Mic,negative,mic phone easily go faulty,Mic phone easily go faulty .,B-PART O O O O O
I'm obsessed with my iPhone 13 Pro's ProRAW feature. My photos look like they're shot on a DSLR!,iPhone 13 Pro,,positive,im obsessed iphone pro proraw feature photo look like theyre shot dslr !,Im obsessed iPhone 13 Pro ProRAW feature . My photo look like theyre shot DSLR,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O
"I thought the Samsung Galaxy S21 Ultra's S Pen support would be cool, but I barely use it.",Samsung Galaxy S21 Ultra,S Pen support,negative,thought samsung galaxy ultras pen support would cool barely use,I thought Samsung Galaxy S21 Ultra S Pen support would cool I barely use .,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART I-PART O O O O O O
I can't get over how fast my OnePlus 9 Pro charges. I'm always topped up!,OnePlus 9 Pro,,positive,cant get fast oneplus pro charge im always topped !,I cant get fast OnePlus 9 Pro charge . Im always topped,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O
"I'm on the fence about the Google Pixel 6's Material You design. Some days I love it, some days not so much.",Google Pixel 6,,neutral,im fence google pixel material design day love day not much,Im fence Google Pixel 6 Material You design . Some day I love day much .,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O
I regret buying the Xiaomi Mi 11 for gaming. It gets so hot I can barely hold it!,Xiaomi Mi 11,,negative,regret buying xiaomi mi gaming get hot barely hold !,I regret buying Xiaomi Mi 11 gaming . It get hot I barely hold,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
I'm in love with the Sony Xperia 1 III's dedicated shutter button. Makes me feel like a real photographer!,Sony Xperia 1 III,shutter button,positive,im love sony xperia iii dedicated shutter button make feel like real photographer !,Im love Sony Xperia 1 III dedicated shutter button . Makes feel like real photographer,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-PART I-PART O O O O O O
"I thought I'd use the Oppo Find X3 Pro's microscope camera more, but it's just a novelty.",Oppo Find X3 Pro,microscope camera,neutral,thought id use oppo find x pro microscope camera novelty,I thought Id use Oppo Find X3 Pro microscope camera novelty .,O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O
I'm disappointed by the LG Velvet's performance. It stutters even with basic tasks.,LG Velvet,,negative,im disappointed lg velvet performance stutter even basic task,Im disappointed LG Velvet performance . It stutter even basic task .,O O B-PRODUCT I-PRODUCT O O O O O O O O
"Yo, the camera on this iPhone 13 Pro is insane! My Insta game just leveled up big time.",iPhone 13 Pro,camera,positive,yo camera iphone pro insane ! insta game leveled big time,Yo camera iPhone 13 Pro insane My Insta game leveled big time .,O B-PART B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
"Meh, Samsung Galaxy S21 Ultra's zoom is cool and all, but not worth the crazy price tag IMO.",Samsung Galaxy S21 Ultra,zoom,negative,meh samsung galaxy ultras zoom cool not worth crazy price tag imo,Meh Samsung Galaxy S21 Ultra zoom cool worth crazy price tag IMO .,O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART O O O O O O O
"Gotta say, OnePlus 9 Pro's fast charging is like magic. Dead to 100% in no time!",OnePlus 9 Pro,fast charging,positive,got ta say oneplus pro fast charging like magic dead no time !,Got ta say OnePlus 9 Pro fast charging like magic . Dead 100 time,O O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
"Google Pixel 6's voice typing is hit or miss. Sometimes it's spot on, other times it's total gibberish.",Google Pixel 6,voice typing,neutral,google pixel voice typing hit miss sometimes spot time total gibberish,Google Pixel 6 voice typing hit miss . Sometimes spot time total gibberish .,B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O O O
"Ugh, my Xiaomi Mi 11 turns into a hot potato when gaming. Not cool, literally.",Xiaomi Mi 11,,negative,ugh xiaomi mi turn hot potato gaming not cool literally,Ugh Xiaomi Mi 11 turn hot potato gaming . Not cool literally .,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O
Sony Xperia 1 III's manual camera mode is a dream for photo nerds. So many options!,Sony Xperia 1 III,manual camera mode,positive,sony xperia iii manual camera mode dream photo nerd many option !,Sony Xperia 1 III manual camera mode dream photo nerd . So many option,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART I-PART O O O O O O O
"NGL, Oppo Find X3 Pro's microscope camera is fun for like 5 minutes. Then you forget it exists.",Oppo Find X3 Pro,microscope camera,neutral,ngl oppo find x pro microscope camera fun like minute forget exists,NGL Oppo Find X3 Pro microscope camera fun like 5 minute . Then forget exists .,O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O O O
"LG Velvet looks slick, but man, it lags like crazy when multitasking. Bummer.",LG Velvet,,negative,lg velvet look slick man lag like crazy multitasking bummer,LG Velvet look slick man lag like crazy multitasking . Bummer .,B-PRODUCT I-PRODUCT O O O O O O O O O O
"Motorola Edge+'s curved screen looks dope, but accidental touches are annoying AF.",Motorola Edge+,curved screen,positive,motorola edge curved screen look dope accidental touch annoying af,Motorola Edge curved screen look dope accidental touch annoying AF .,B-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O
"Holy moly, Realme GT's processor is a beast for this price! Runs everything smooth as butter.",Realme GT,processor,positive,holy moly realme gts processor beast price ! run everything smooth butter,Holy moly Realme GT processor beast price Runs everything smooth butter .,O O B-PRODUCT I-PRODUCT B-PART O O O O O O O
Asus ROG Phone 5's gaming triggers are a total game-changer. Can't go back to gaming without 'em!,Asus ROG Phone 5,gaming triggers,positive,asus rog phone gaming trigger total gamechanger cant go back gaming without em !,Asus ROG Phone 5 gaming trigger total game-changer . Cant go back gaming without em,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O O O
